"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: FHIR R4 / Profile dieses Leitfadens"
"TherapiezielDreieck","TherapiezielDreieck","","","",0,*,"","","","null {[]} {[]}
","Therapieziel-Dreieck (logisches Modell)","Logisches Modell der drei Kernkonzepte des Leitfadens und ihrer Beziehungen:

- **Behandlungsepisode** — *wer* behandelt, in welchem Rahmen (Art, Intention,
  Zeitraum, verantwortliche Organisation),
- **Therapieziel** — *was* erreicht werden soll (Zielart, messbarer Zielwert,
  Erreichungsgrad),
- **Versorgungsplan** — *welche Maßnahmen* geplant sind (Tumorboard-Empfehlung
  bzw. Behandlungsplan mit den geplanten Anforderungen).

Das Ziel geht dem Plan voraus; der Plan **verfolgt** das Ziel (`verfolgtesZiel`)
und ist seiner **Episode zugeordnet** (`episode`). Zwischen Ziel und Episode gibt
es **keine direkte Referenz** — die Zuordnung ergibt sich implizit über den Plan
(siehe schematische Darstellung).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"TherapiezielDreieck.patient","TherapiezielDreieck.patient","","","",1,1,"","","","Reference {[]} {[]}
","Patientin/Patient","Person, auf die sich Episoden, Ziele und Pläne beziehen (subject aller Ressourcen).","","","","","","","","","",,,,,"",,,,"TherapiezielDreieck.patient",1,1,"","","Patient (subject der jeweiligen Ressourcen)"
"TherapiezielDreieck.behandlungsepisode","TherapiezielDreieck.behandlungsepisode","","","",0,*,"","","","BackboneElement {[]} {[]}
","Behandlungsepisode — wer behandelt","Abgegrenzter Versorgungsabschnitt mit eigener Intention: Therapielinie, Diagnostiklinie, Active Surveillance, Watchful Waiting u. a.","","","","","","","","","",,,,,"",,,,"TherapiezielDreieck.behandlungsepisode",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","EpisodeOfCare"
"TherapiezielDreieck.behandlungsepisode.id","TherapiezielDreieck.behandlungsepisode.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"TherapiezielDreieck.behandlungsepisode.extension","TherapiezielDreieck.behandlungsepisode.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"TherapiezielDreieck.behandlungsepisode.modifierExtension","TherapiezielDreieck.behandlungsepisode.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"TherapiezielDreieck.behandlungsepisode.art","TherapiezielDreieck.behandlungsepisode.art","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Art der Episode","Therapielinie (systemisch), lokoregionale Behandlungslinie, Diagnostiklinie, Active Surveillance, Watchful Waiting … (offen/extensible).","","","","","","","","","",,,,,"",,,,"TherapiezielDreieck.behandlungsepisode.art",1,1,"","","EpisodeOfCare.type"
"TherapiezielDreieck.behandlungsepisode.intention","TherapiezielDreieck.behandlungsepisode.intention","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Intention","Zweck der Episode: kurativ, neoadjuvant, adjuvant, palliativ, supportiv; bei Diagnostik der Informationsgewinn.","","","","","","","","","",,,,,"",,,,"TherapiezielDreieck.behandlungsepisode.intention",1,1,"","","EpisodeOfCare.extension[OnkoTherapyIntentExt]"
"TherapiezielDreieck.behandlungsepisode.zeitraum","TherapiezielDreieck.behandlungsepisode.zeitraum","","","",0,1,"","","","Period {[]} {[]}
","Zeitraum","Beginn und Ende des Versorgungsabschnitts.","","","","","","","","","",,,,,"",,,,"TherapiezielDreieck.behandlungsepisode.zeitraum",0,1,"","","EpisodeOfCare.period"
"TherapiezielDreieck.behandlungsepisode.verantwortlich","TherapiezielDreieck.behandlungsepisode.verantwortlich","","","",0,1,"","","","Reference {[]} {[]}
","Verantwortliche Organisation","Organisation bzw. Team, das die Episode führt (z. B. Tumorzentrum, betreuende Praxis).","","","","","","","","","",,,,,"",,,,"TherapiezielDreieck.behandlungsepisode.verantwortlich",0,1,"","","EpisodeOfCare.managingOrganization, EpisodeOfCare.team"
"TherapiezielDreieck.behandlungsepisode.status","TherapiezielDreieck.behandlungsepisode.status","","","",1,1,"","","","code {[]} {[]}
","Status","Lebenszyklus der Episode: geplant, aktiv, beendet.","","","","","","","","","",,,,,"",,,,"TherapiezielDreieck.behandlungsepisode.status",1,1,"","","EpisodeOfCare.status"
